Admin0_Nam,Pcode_Ad_0,Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,annee,homme,femme,total,source
Mali,ML,Koulikouro,ML02,Kati,ML0204,Sanankoro Djitoumou,ML020430,2009,6594,6733,13327,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Sanankoroba,ML020431,2009,18718,18643,37361,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Sangarebougou,ML020432,2009,24021,23171,47192,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Siby,ML020433,2009,12140,12115,24255,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Sobra,ML020434,2009,4817,4987,9804,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Tiakadougou Dialakoro,ML020435,2009,3819,3879,7698,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Tiele,ML020436,2009,9088,9406,18494,RGPH
Mali,ML,Koulikouro,ML02,Kati,ML0204,Yelekebougou,ML020437,2009,6228,6552,12780,RGPH
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Ben Kadi,ML020102,2009,4554,4518,9072,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Didieni,ML020501,2009,16145,16949,33094,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Guihoyo,ML020502,2009,10536,10995,21531,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Kolokani,ML020503,2009,21592,22628,44220,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Massantola,ML020504,2009,17380,17983,35363,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Nonkon,ML020505,2009,8834,9297,18131,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Nossombougou,ML020506,2009,10105,10640,20745,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Ouolodo,ML020507,2009,4923,5039,9962,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Sagabala,ML020508,2009,8616,9091,17707,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Sebecoro 1,ML020509,2009,9322,9723,19045,RGPH
Mali,ML,Koulikouro,ML02,Kolokani,ML0205,Tioribougou,ML020510,2009,6203,6499,12702,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Allahina,ML020701,2009,5574,6018,11592,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Dabo,ML020702,2009,5531,6093,11624,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Dilly,ML020703,2009,19296,19153,38449,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Dogofry,ML020704,2009,16892,17763,34655,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Fallou,ML020705,2009,14841,15194,30035,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Gueneibe,ML020706,2009,4421,4330,8751,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Guire,ML020707,2009,10037,9838,19875,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Koronga,ML020708,2009,5535,5476,11011,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Nara,ML020709,2009,14581,15021,29602,RGPH
Mali,ML,Koulikouro,ML02,Nara,ML0207,Niamana,ML020710,2009,13830,14250,28080,RGPH
